,index,model_names,ratings,price,imgURL,battery,storage,ram,processor,android_version
296,297,"REDMI Note 11T 5G (Matte black, 128 GB)",4.2,19199,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/e/k/o/-original-imag9g3hxujubg8g.jpeg?q=70,5000,128,8,not mentioned,11
297,298,"REDMI 10A (Sea Blue, 32 GB)",4.1,9499,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/7/a/-original-imagdrghghkneesf.jpeg?q=70,5000,32,3,not mentioned,nan
298,299,"REDMI Note 10T 5G (Metallic Blue, 128 GB)",4.2,16990,https://rukminim2.flixcart.com/image/312/312/l0igvww0/mobile/y/j/4/-original-imagcaaw4d7bv7pj.jpeg?q=70,5000,128,6,Dimensity700P,11
299,300,"REDMI Note 10 Pro (Vintage Bronze, 128 GB)",4.3,17999,https://rukminim2.flixcart.com/image/312/312/l0h1g280/mobile/g/f/k/-original-imagc9cqaegfn486.jpeg?q=70,5020,128,6,Snapdragon732G,11
300,301,"REDMI 10A SPORT (SEA BLUE, 128 GB)",4.0,10489,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/f/q/f/-original-imaggz35fsh6jjnh.jpeg?q=70,5000,128,6,not mentioned,12
301,302,"REDMI Note 11S (Polar White, 128 GB)",4.1,20999,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/c/d/-original-imagbwx4pxvedhdp.jpeg?q=70,5000,128,6,not mentioned,11
302,303,"REDMI NOTE 10 LITE (Champagne Gold, 128 GB)",4.3,14645,https://rukminim2.flixcart.com/image/312/312/kv1a4cw0/mobile/d/f/x/note-10-lite-2109106a1i-redmi-original-imag8yv4dzqyenwt.jpeg?q=70,5020,128,6,not mentioned,11
303,304,"REDMI NOTE 10 LITE (Champagne Gold, 128 GB)",4.3,13990,https://rukminim2.flixcart.com/image/312/312/kua4r680/mobile/g/p/g/m2002f4lg-m1910f4g-redmi-note-10-lite-redmi-original-imag7f7fpmee9gje.jpeg?q=70,5020,128,4,not mentioned,11
304,305,"REDMI Note 11T 5G (Stardust White, 128 GB)",4.2,19899,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/0/v/v/-original-imag9g37hzxggjgg.jpeg?q=70,5000,128,8,not mentioned,11
305,306,"REDMI A2+ (Sea Green, 64 GB)",4.2,8377,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/i/l/a2-plus-a2-redmi-original-imagqfyemhx3pyks.jpeg?q=70,5000,64,4,not mentioned,13
